Umidade (em porcentagem),Temperatura (Celsius)
41.00,27.60
42.00,27.50
42.00,27.30
42.00,27.30
42.00,27.10
42.00,27.10
42.00,27.00
43.00,26.80
43.00,26.70
44.00,26.50
44.00,26.50
44.00,26.20
44.00,26.20
45.00,26.00
44.00,25.90
45.00,25.80
45.00,25.70
45.00,25.70
45.00,25.60
45.00,25.60
46.00,25.60
46.00,25.60
46.00,25.50
46.00,25.50
46.00,25.50
46.00,25.50
46.00,25.50
46.00,25.30
46.00,25.30
46.00,25.20
47.00,25.20
47.00,25.10
47.00,25.20
47.00,25.10
47.00,25.10
47.00,25.10
47.00,25.10
47.00,25.00
47.00,25.00
47.00,24.90
47.00,24.90
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.80
48.00,24.80
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.80
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.90
48.00,24.80
48.00,24.90
48.00,24.90
48.00,24.80
48.00,24.80
48.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.70
49.00,24.60
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.70
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
49.00,24.60
